Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters
1,Walmart,Retail,"680,985",5.10%,"2,100,000","Bentonville, Arkansas"
2,Amazon,Retail and cloud computing,"637,959",11.00%,"1,556,000","Seattle, Washington"
3,UnitedHealth Group,Healthcare,"400,278",7.70%,"400,000","Minnetonka, Minnesota"
4,Apple,Technology,"391,035",2.00%,"164,000","Cupertino, California"
5,CVS Health,Healthcare,"372,809",4.20%,"259,500","Woonsocket, Rhode Island"
6,Berkshire Hathaway,Conglomerate,"371,433",1.90%,"392,400","Omaha, Nebraska"
7,Alphabet,Technology and cloud computing,"350,018",13.90%,"183,323","Mountain View, California"
8,Exxon Mobil,Petroleum,"349,595",1.50%,"60,900","Spring, Texas"
9,McKesson Corporation,Healthcare,"308,951",11.70%,"48,000","Irving, Texas"
10,Cencora,Pharmacy wholesale,"293,959",12.10%,"44,000","Conshohocken, Pennsylvania"
11,JPMorgan Chase,Financials,"278,906",16.50%,"317,233","New York City, New York"
